name,brand,unit,category,sub_category,sku
TUSKER,LAGERGEN,Pcs,BEER,18023C128,1
TUSKER,MALTGEN,Pcs,BEER,18024C128,1
TUSKER,LITEGEN,Pcs,BEER,18025C128,1
KB,LAGERGEN,Pcs,BEER,18026C128,1
SUMMIT,LAGERGEN,Pcs,BEER,18027C128,1
WHITECAP,Pcs,BEER,18028C128,1,5
WHITECAP,CRISP,GEN,Pcs,BEER,18029C128
GUINNESS,Pcs,BEER,18030C128,1,5
PILSNER,LAGERGEN,Pcs,BEER,18031C128,1
BALOZI,GEN,Pcs,BEER,18032C128,1
BLACK,ICEGEN,Pcs,BEER,18033C128,1
HEINEKEN,Pcs,BEER,18034C128,1,5
HEINEKEN,ZEROGEN,Pcs,BEER,18035C128,1
TUSKER,NDIMUGEN,Pcs,BEER,18036C128,1
SNAPP,GEN,Pcs,CIDERS,18037C128,1
TUSKER,CIDERGEN,Pcs,CIDERS,18038C128,1
KINGFISHER,Pcs,CIDERS,18039C128,1,5
MANYATTA,Pcs,CIDERS,18040C128,1,5
DESPERADO,Pcs,CIDERS,18041C128,1,5
SAVANNA,DRYGEN,Pcs,CIDERS,18042C128,1
K,O,CIDERGEN,Pcs,CIDERS,18043C128
PINEAPPLE,PUNCH,GEN,Pcs,CIDERS,18044C128
HUNTERS,GOLDGEN,Pcs,CIDERS,18045C128,1
HUNTERS,DRYGEN,Pcs,CIDERS,18046C128,1
WHITECAP,CANGEN,Pcs,CANS,18047C128,1
GUINNESS,CANGEN,Pcs,CANS,18048C128,1
TUSKER,LAGER,CAN,GEN,Pcs,CANS
TUSKER,MALT,CAN,GEN,Pcs,CANS
TUSKER,LITE,CANGEN,Pcs,CANS,18051C128
PILSNER,CANGEN,Pcs,CANS,18052C128,1
PINEAPPLE,PUNCH,CAN,GEN,Pcs,CANS
ALVARO,CANGEN,Pcs,CANS,18054C128,1
SNAPP,CANGEN,Pcs,CANS,18055C128,1
BALOZI,CANSGEN,Pcs,CANS,18056C128,1
TUSKER,CIDER,CAN,GEN,Pcs,CANS
HEINEKEN,CANGEN,Pcs,CANS,18058C128,1
BLACK,ICE,CANGEN,Pcs,CANS,18059C128
GUARANA,Pcs,CANS,18060C128,1,5
JW,DOUBLE,BLACK,GEN,Pcs,WHISKEY
J,W,BLACK,750ML,GEN,Pcs
J,W,BLACK,1000ML,GEN,Pcs
JW,BLACK,375ML,GEN,Pcs,WHISKEY
JWRED,750MLGEN,Pcs,WHISKEY,18065C128,1
JWRED,1000MLGEN,Pcs,WHISKEY,18066C128,1
JWRED,375MLGEN,Pcs,WHISKEY,18067C128,1
JW,GOLD,RESERVE,750ML,GEN,Pcs
JW,GREEN,750ML,GEN,Pcs,WHISKEY
JW,PLATINUMGEN,Pcs,WHISKEY,18070C128,1
JW,BLUE,LABELGEN,Pcs,WHISKEY,18071C128
SINGLETON,12YRS,GEN,Pcs,WHISKEY,18072C128
SINGLETON15YRS,GEN,Pcs,WHISKEY,18073C128,1
GLENLIVET,12YRS,GEN,Pcs,WHISKEY,18074C128
